"","Domestication","X12.1_HabitatBreadth","X6.2_TrophicLevel","Sociality","SocialHierarchy","YearRoundBreeding","DevelopmentStrategy","HeadOrnaments"
"Ourebia_ourebi","0","1","1","0","0","1","0","1"
"Ovibos_moschatus","0","1","1","1","1","0","1","0"
"Ovis_ammon","0","1","1","0","1","0",NA,"0"
"Ovis_aries_orientalis","1",NA,"1","0","1","0","0","0"
"Ovis_canadensis","0","1","1","0","1","0","0","0"
"Ovis_dalli","0","1","1","0","1",NA,"0","0"
"Ozotoceros_bezoarticus","0","1","1","0","0",NA,NA,"1"
"Pecari_tajacu","0","1","1","0","0",NA,NA,"0"
"Pelea_capreolus","0","1","1","0","1",NA,"0","1"
"Phacochoerus_aethiopicus","0","1","1","0","1","1","1","0"
"Phacochoerus_africanus","0",NA,"1","0","0","0","0","0"
"Philantomba_maxwellii","0","1","0","1","0","0","0","0"
"Philantomba_monticola","0","1","0","0","0","1","1","0"
"Potamochoerus_larvatus","0","1","0","0","1","0","1","0"
"Potamochoerus_porcus","0","1","0",NA,"0",NA,NA,"0"
"Procapra_picticaudata","0",NA,NA,NA,NA,NA,NA,"1"
"Pseudois_nayaur","0","1","1","0","0","0","0","0"
"Pudu_puda","0","1","1","1","1","0","1","1"
"Rangifer_tarandus","1",NA,"1","0","0","0","1","0"
"Raphicerus_campestris","0","1","1","0","0",NA,"0","1"
"Raphicerus_melanotis","0","1","1","1","0","1","0","1"
"Raphicerus_sharpei","0","1","1","1","0","1","0","1"
"Redunca_arundinum","0","1","1","0","1","1","0","1"
"Redunca_fulvorufula","0","1","1","0","0","0","0","1"
"Redunca_redunca","0","1","1",NA,"0",NA,"0","1"
"Rhinoceros_unicornis","0","0","1",NA,"0",NA,NA,"0"
"Rucervus_duvaucelii","0","0","1","0","1","0","1","1"
"Rupicapra_pyrenaica","0",NA,NA,"0","1","0","0","0"
"Rupicapra_rupicapra","0","1","1","1","1","0","0","0"
"Rusa_timorensis","0",NA,"1","0","0","0","1","1"
"Rusa_unicolor","0",NA,"1","1","0","1","1","1"
"Sus_barbatus","0","1","0",NA,"0",NA,NA,"0"
"Sus_cebifrons","0",NA,"0",NA,NA,NA,NA,"0"
"Sus_philippensis","0",NA,"0",NA,NA,NA,NA,"0"
"Sus_scrofa","1",NA,"0","0","0","1","1","0"
"Sylvicapra_grimmia","0","1","1","1","0",NA,"0","1"
"Syncerus_caffer","0","1","1","0","1","1","1","0"
"Tapirus_bairdii","0","1","1","1","0","1","0","0"
"Tapirus_pinchaque","0","1","1","1","0",NA,NA,"0"
"Tapirus_terrestris","0","1","0","1","0","1","1","0"
"Taurotragus_oryx","0","1","1","1","1",NA,"0","0"
"Tayassu_pecari","0","1","0","0","0",NA,NA,"0"
"Tragelaphus_angasii","0","1","1","0","0",NA,"0","1"
"Tragelaphus_buxtoni","0","1","1","0","1","0","0","1"
"Tragelaphus_eurycerus","0","1","1","1","0",NA,"1","0"
"Tragelaphus_imberbis","0","1","1","1","0",NA,"0","1"
"Tragelaphus_scriptus","0","0","1","1","0",NA,"0","1"
"Tragelaphus_spekii","0","0","1","0","0",NA,"1","1"
"Tragelaphus_strepsiceros","0","1","1","1","0",NA,"0","1"
"Tragulus_javanicus","0",NA,"1",NA,"0",NA,NA,"0"
"Tragulus_napu","0",NA,"1","1","0","1","1","0"
"Vicugna_vicugna","1","1","1","0","0","0","1","0"
